company_name,city,pincode,locality,Sub_Locality,Address,Building_Name,Landmarks,StdCode,telephone1,telephone2,telephone3,mobile,Mobile2,Mobile3,Tollfreenumber,ptc_name,Email,Email1,CompanyEmail,Website,level1,level2,level3
Gunait Industries,Vadodara,390010,Vadsar,Gidc Estate Makarpura Industrial Estate,746 7 B,,,265,2642355,,,9824262721,,NULL,NULL,,,,,,Environment,Cleaning Equipments- Indl,Pollution Control Equipment
Patel Furnances & Forging Pvt Ltd,Vadodara,390010,Vadsar,"GIDC Estate, Makarpura",A/2-510,,,265,2644864,2640406,,9824038602,NULL,NULL,NULL,,,,,,Industrial Supplies & Services,Manufacturing Material & Supplies,Forgings
Harsh Industrial Services,Vadodara,390023,Subhanpura,Vardhman Comple,F-18,,,265,,,,9825059629,9879526434,NULL,NULL,Vijay,,,,,Food & Beverage,Kitchen Equipment & Supplies (Hotels / Restaurants),Syrup Pumps
Ref Vac Consultancy,Vadodara,390023,Atmajyoti Ashram Road,Ratnam Park,A/13,,Near Amin Party Plot,265,2332192,,,9824095317,NULL,NULL,NULL,,,,,,Chemicals,Chemicals- Speciality & Indl,Chemicals- Pharmaceutical
Super Cryogenic Systems Pvt Ltd,Vadodara,391775,Manjusar,G I D C,35,,Manjusar,2667,4625500,,,9811089578,,NULL,NULL,Prakash Rajotia,,,mail@supercryo.com,www.supercryo.com,Chemicals,Chemicals- Organic,Gases & Elements- Organic
Airro Engineering Co,Vadodara,390002,Channi Naka,Sitaram Super Market,37,,Opposite Baroda Pakaging,265,2777340,,,9825306668,,NULL,NULL,J P Sharma,airroenggco@rediffmail.com,,airroenggco@gmail.com,www.airroengg.com,Industrial Supplies & Services,Manufacturing Material & Supplies,Pigments
Forsberg Agritech India Company,Vadodara,390014,Makarpura,GIDC Estate,123,,,265,3098127,6590584,2636752,9825072483,,NULL,NULL,Anil V Thakore,,,,,Consultants & Professionals,Consultants- Agriculture & Horticulture ,Consultants- Agricultural 
Vrushabh Belting Pvt Ltd,Vadodara,390015,R C Dutt Road,Akshar Chowk,333,Abhishek Complex,,265,2352283,2352284,2333497,9824030769,9427506125,NULL,NULL,Nilesh,marketing@vrushabhtranscon.com,,vpbl@vrushabhtranscon.com,www.vrushabhtranscon.com,Industrial Equipments & Machinery,Industrial Machinery Parts,Conveyor Belts
Deziners Lab Furniture,Vadodara,390023,Subhanpura,Subhanpura Main Road,903 A,Vardhman Complex,,265,2386386,2386603,,9824097511,,NULL,NULL,Nagesh,,,,,Furniture & Furnishing,Furniture Specialty & Customized,Laboratory Furniture
Palvi Power Tech Sales,Vadodara,390002,Fatehgunj,Arpan Complex Nizampura,No. 228,,,265,2781001,,,9825031036,,NULL,NULL,Himanshu Mehta,,,,,Chemicals,Chemicals- Speciality & Indl,Chemicals- Agricultural
Best Technocrat India Pvt Ltd,Vadodara,391740,Mansarovar Complex,,57,,Opposite Chhani Gurudwara,265,6541938,2762435,9825073795,9824045123,NULL,NULL,NULL,Gautham,,,besttechnocrat@yahoo.co.in,www.besttechnocrat.com,Industrial Equipments & Machinery,Industrial Machinery Parts,Welding Equipments & Supplies
Multicut Machine Tools,Vadodara,390014,Makarpura,GIDC,B-359-360,,Near Hanumanji Temple,265,2640809,2643587,2645585,9879611699,,,,Raman Patel,,,sales@multicutmachines.com,www.multicutmachines.com,Industrial Equipments & Machinery,Tools,Machine Tools & Parts
Guru Technology Services,Vadodara,390023,Gotri,"Rajesh Tower Road, Devkinandan Society",3,,,265,2397015,,,9824001075,,NULL,NULL,Vasudev S,,,,,Industrial Equipments & Machinery,Production Process Machinery & Equipments,Filters & Filter Equipments
India Plastic Associates,Vadodara,390005,Productivity Road,NULL,306,Kailash Complex,,265,6624645,2320571,,9825082727,NULL,NULL,NULL,H M Panchal,,,,,Industrial Supplies & Services,Manufacturing Material & Supplies,Dyes & Dyestuff
